,rpt_dt,addr_pct_cd,ofns_desc,loc_of_occur_desc,prem_typ_desc,latitude,longitude,lat_lon,coords_list
150,2020-06-29T00:00:00.000,50,ROBBERY,INSIDE,FAST FOOD,40.86847014500006,-73.90172971299995,"{'latitude': '40.86847014500006', 'longitude': '-73.90172971299995'}","['40.86847014500006', '-73.90172971299995']"
151,2020-06-29T00:00:00.000,49,VEHICLE AND TRAFFIC LAWS,FRONT OF,STREET,40.869602076000035,-73.84724012299995,"{'latitude': '40.869602076000035', 'longitude': '-73.84724012299995'}","['40.869602076000035', '-73.84724012299995']"
152,2020-06-29T00:00:00.000,81,GRAND LARCENY OF MOTOR VEHICLE,FRONT OF,STREET,40.695058784000025,-73.93894872099996,"{'latitude': '40.695058784000025', 'longitude': '-73.93894872099996'}","['40.695058784000025', '-73.93894872099996']"
153,2020-06-27T00:00:00.000,94,FELONY ASSAULT,,STREET,40.73445624100003,-73.95495881699998,"{'latitude': '40.73445624100003', 'longitude': '-73.95495881699998'}","['40.73445624100003', '-73.95495881699998']"
154,2020-06-26T00:00:00.000,13,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.74376638800004,-73.98797324599997,"{'latitude': '40.74376638800004', 'longitude': '-73.98797324599997'}","['40.74376638800004', '-73.98797324599997']"
155,2020-06-10T00:00:00.000,52,GRAND LARCENY,,STREET,40.86268757100004,-73.90904111899994,"{'latitude': '40.86268757100004', 'longitude': '-73.90904111899994'}","['40.86268757100004', '-73.90904111899994']"
156,2020-06-25T00:00:00.000,104,PETIT LARCENY,,STREET,40.70872768200008,-73.90292104199995,"{'latitude': '40.70872768200008', 'longitude': '-73.90292104199995'}","['40.70872768200008', '-73.90292104199995']"
157,2020-06-25T00:00:00.000,83,THEFT-FRAUD,INSIDE,RESIDENCE - APT. HOUSE,40.70509845500004,-73.91606203999999,"{'latitude': '40.70509845500004', 'longitude': '-73.91606203999999'}","['40.70509845500004', '-73.91606203999999']"
158,2020-06-24T00:00:00.000,43,GRAND LARCENY,,STREET,40.81777830500005,-73.85727271499997,"{'latitude': '40.81777830500005', 'longitude': '-73.85727271499997'}","['40.81777830500005', '-73.85727271499997']"
159,2020-06-24T00:00:00.000,44,PETIT LARCENY,FRONT OF,STREET,40.83545295000005,-73.91782373999997,"{'latitude': '40.83545295000005', 'longitude': '-73.91782373999997'}","['40.83545295000005', '-73.91782373999997']"
160,2020-06-23T00:00:00.000,69,ASSAULT 3 & RELATED OFFENSES,,STREET,40.64322370100007,-73.90305597999998,"{'latitude': '40.64322370100007', 'longitude': '-73.90305597999998'}","['40.64322370100007', '-73.90305597999998']"
161,2020-06-23T00:00:00.000,7,PETIT LARCENY,,STREET,40.72097593400008,-73.98216914099999,"{'latitude': '40.72097593400008', 'longitude': '-73.98216914099999'}","['40.72097593400008', '-73.98216914099999']"
162,2020-06-23T00:00:00.000,115,BURGLARY,INSIDE,RESTAURANT/DINER,40.749608780000074,-73.88570722299994,"{'latitude': '40.749608780000074', 'longitude': '-73.88570722299994'}","['40.749608780000074', '-73.88570722299994']"
163,2020-06-23T00:00:00.000,90,PETIT LARCENY,,STREET,40.71180904200002,-73.94223026199995,"{'latitude': '40.71180904200002', 'longitude': '-73.94223026199995'}","['40.71180904200002', '-73.94223026199995']"
